species_code	species_name	tax_id	compatible_algorithms
Sl	Solanum lycopersicum	4081	En
Ov	Ovis aries	9258	En
Xt	Xenopus tropicalis	8364	En
Et	Echinops telfairi	9371	En
Lo	Lepisosteus oculatus	7918	En
Vv	Vitis vinifera	29760	En
Pm	Petromyzon marinus	7757	En
Ml	Myotis lucifugus	59463	En
Dn	Dasypus novemcinctus	9361	En
Pf	Plasmodium falciparum	5833	En
La	Loxodonta africana	9785	En
Ma	Macaca mulatta	10090	En|L
Ce	Caenorhabditis elegans	6239	En
Mg	Meleagris gallopavo	9103	En
Ps	Pelodiscus sinensis	13735	En
Ch	Choloepus hoffmanni	9358	En
Gm	Glycine max	3847	En
Tn	Tetraodon nigroviridis	99883	En
As	Astyanax mexicanus	9646	En|L
Tt	Tursiops truncatus	9739	En
Lc	Latimeria chalumnae	7897	En
Po	Populus tremula	113636	En
At	Arabidopsis thaliana	3702	En|L
Tg	Taeniopygia guttata	59729	En
Ag	Anopheles gambiae	7165	En
Sc	Saccharomyces cerevisiae	4932	En
Cp	Cavia porcellus	10141	En
Rn	Rattus norvegicus	10116	En|L
Go	Gorilla gorilla	9031	En|L
Dr	Danio rerio	7955	En|L
Ta	Triticum aestivum	4565	En
Hv	Hordeum vulgare	4513	En
Mi	Microcebus murinus	10090	En|L
Xl	Xenopus laevis	8355	En
Pc	Procavia capensis	9813	En
Pp	Pongo pygmaeus	9600	En
Xm	Xiphophorus maculatus	8083	En
Mm	Mus musculus	10090	En|L
Cs	Ciona savignyi	51511	En
Me	Macropus eugenii	9315	En
Pt	Pan troglodytes	9598	En
Fc	Felis catus	9371	En
Mp	Mustela putorius furo	9669	En
Sa	Sorex araneus	42254	En
Mx	Mycobacterium tuberculosis	1773	En
Cf	Canis familiaris	9615	En
Do	Dipodomys ordii	10020	En
Md	Monodelphis domestica	13616	En
Ss	Sus scrofa	9823	En
St	Spermophilus tridecemlineatus	43179	En
Ac	Anolis carolinensis	28377	En
Aa	Aedes aegypti	7159	En
It	Ictidomys tridecemlineatus	43179	En
Ga	Gasterosteus aculeatus	3847	En
Po	Pongo abelii	287	En
Ec	Equus caballus	9796	En
Bt	Bos taurus	9913	En
Ts	Tarsius syrichta	9478	En
Gg	Gallus gallus	9031	En|L
Tr	Takifugu rubripes	31033	En
Tb	Tupaia belangeri	37347	En
Ol	Oryzias latipes	8090	En
Zm	Zea mays	4577	En|L
Pv	Pteropus vampyrus	132908	En
Sh	Sarcophilus harrisii	9305	En
Sp	Schizosaccharomyces pombe	4896	En|L
Am	Ailuropoda melanoleuca	9646	En|L
Op	Ochotona princeps	9978	En
Fa	Ficedula albicollis	59894	En
Ci	Ciona intestinalis	7719	En
Ee	Erinaceus europaeus	9365	En
Su	Staphylococcus aureus	1280	En
Vp	Vicugna pacos	30538	En
Og	Otolemur garnettii	30611	En
Nl	Nomascus leucogenys	61853	En
Dm	Drosophila melanogaster	7227	En
On	Oreochromis niloticus	8128	En
Hs	Homo sapiens	9606	En|L
Ap	Anas platyrhynchos	8839	En
Ch	Chlorocebus sabaeus	51511	En
Pa	Pseudomonas aeruginosa	287	En
Pa	Papio anubis	287	En
Os	Oryza sativa	4530	En
Oc	Oryctolagus cuniculus	9986	En
Oa	Ornithorhynchus anatinus	9258	En
Cj	Callithrix jacchus	9483	En
