GeneSymbol	SystemCode
CASP3	Sy
ORMDL3	Sy
KIF5B	Sy
INPPL1	Sy
MOB4	Sy
DNAJC11	Sy
PAIP1	Sy
ZMPSTE24	Sy
UGGT1	Sy
UBXN4	Sy
ATL3	Sy
AP1G1	Sy
CLIP1	Sy
VAMP3	Sy
FN1	Sy
PTPN18	Sy
PRTN3	Sy
B2M	Sy
PACSIN2	Sy
SPECC1	Sy
DCTN1	Sy
GRIPAP1	Sy
KLC1	Sy
AP1S2	Sy
RABGAP1	Sy
TOR4A	Sy
SYK	Sy
ITGA5	Sy
STX7	Sy
ETF1	Sy
TXNDC5	Sy
MTM1	Sy
PSMB7	Sy
HOOK3	Sy
NUDT3	Sy
PLXNB2	Sy
LNPK	Sy
GABARAPL2	Sy
ROCK1	Sy
TRIP10	Sy
PPP1R9B	Sy
MSRA	Sy
PLEKHO2	Sy
SCRN1	Sy
GNB4	Sy
CTPS1	Sy
SLC25A13	Sy
SULT1A4	Sy
DNAJB2	Sy
SERPINB1	Sy
RAB37	Sy
ANO10	Sy
AP3B1	Sy
ATP6V0A1	Sy
PIK3CG	Sy
VTI1B	Sy
VAPB	Sy
ALDH4A1	Sy
SGTA	Sy
EIF4G1	Sy
TOLLIP	Sy
RDX	Sy
PEX14	Sy
TSC22D3	Sy
CORO1B	Sy
EML2	Sy
HSD17B12	Sy
PRKAA1	Sy
NENF	Sy
PHKB	Sy
EEA1	Sy
TFG	Sy
CLTA	Sy
RAB2A	Sy
