GeneSymbol	SystemCode
PLCL2	Sy
PSMA7	Sy
CAP1	Sy
PLS3	Sy
PSMB2	Sy
NIT2	Sy
PSMA2	Sy
PSMA5	Sy
PSMA4	Sy
ABI1	Sy
FAF1	Sy
PSMB9	Sy
DAZAP1	Sy
ERAP1	Sy
PSMA3	Sy
CDC42	Sy
CHORDC1	Sy
FAM114A2	Sy
BORCS6	Sy
RABGGTA	Sy
PAFAH1B1	Sy
NUBP1	Sy
PSMB4	Sy
PCYT1A	Sy
OSBP	Sy
KRAS	Sy
PSMA6	Sy
DDAH2	Sy
GTPBP1	Sy
ASNA1	Sy
LSM1	Sy
PKM	Sy
HPRT1	Sy
TBC1D2	Sy
INPP4A	Sy
TSG101	Sy
C2CD5	Sy
HK3	Sy
PFN3	Sy
C20orf27	Sy
DDT	Sy
AP2B1	Sy
GLRX3	Sy
ACAT2	Sy
RHOT1	Sy
AP2A1	Sy
CUTA	Sy
BLVRA	Sy
COMMD9	Sy
TPI1	Sy
VIPAS39	Sy
GYG1	Sy
NAPA	Sy
DDX19A	Sy
NDUFAB1	Sy
YWHAQ	Sy
EEF1D	Sy
RIPK1	Sy
CDS2	Sy
SURF4	Sy
USP47	Sy
SDHA	Sy
UBXN7	Sy
PNPLA6	Sy
GGH	Sy
COMMD6	Sy
DLD	Sy
ACTR3	Sy
GAPVD1	Sy
SDF2L1	Sy
TSN	Sy
TPD52L2	Sy
ATP5O	Sy
TXNRD1	Sy
VPS37B	Sy
LAP3	Sy
PGAM1	Sy
FNTA	Sy
FABP5	Sy
SBF1	Sy
PLPBP	Sy
ITCH	Sy
NANS	Sy
FGD3	Sy
GOT1	Sy
KPNB1	Sy
BIRC6	Sy
FAHD1	Sy
BRD8	Sy
MAPKAPK2	Sy
CKAP4	Sy
TBC1D9B	Sy
GNB2	Sy
DBT	Sy
SRPRB	Sy
ISOC2	Sy
NME3	Sy
VPS25	Sy
VPS45	Sy
PRMT5	Sy
RNH1	Sy
PMPCA	Sy
TPM3	Sy
ATP6V1C1	Sy
GET4	Sy
SAMSN1	Sy
DUSP23	Sy
SYNJ2BP	Sy
GBE1	Sy
ARPC1B	Sy
HACD3	Sy
VCP	Sy
BPNT1	Sy
SEC13	Sy
COPB2	Sy
LCP1	Sy
ARHGEF7	Sy
GSTP1	Sy
DCTN5	Sy
CUTC	Sy
PSMA1	Sy
FXR1	Sy
NDUFS6	Sy
CLIC5	Sy
DNM2	Sy
RANBP2	Sy
EIF2S3	Sy
TNPO2	Sy
DERA	Sy
TAX1BP3	Sy
CCDC88A	Sy
LTN1	Sy
GMPR2	Sy
AHCYL1	Sy
TXNDC17	Sy
PEPD	Sy
NCKAP1L	Sy
UFC1	Sy
NDUFA6	Sy
PTPA	Sy
MEFV	Sy
RMDN3	Sy
LDHA	Sy
CNBP	Sy
SF3B5	Sy
PSMD10	Sy
NDUFS1	Sy
GDI2	Sy
CIAPIN1	Sy
DPP3	Sy
PDK3	Sy
RPS27A	Sy
VPS35	Sy
PTGES3	Sy
SCRN2	Sy
PPCDC	Sy
STAB1	Sy
HPF1	Sy
CYBB	Sy
CTSC	Sy
UBE2K	Sy
RNF40	Sy
PMM2	Sy
SRSF3	Sy
ADK	Sy
SRSF1	Sy
PRPF31	Sy
PRPF38A	Sy
SRSF10	Sy
RPL13	Sy
RPL36AL	Sy
SCARB2	Sy
ENOPH1	Sy
COPS7B	Sy
HNRNPA1	Sy
CBX3	Sy
CD38	Sy
EIF3G	Sy
S100P	Sy
CD44	Sy
APBB1IP	Sy
PTGES2	Sy
SPAG7	Sy
PPP4C	Sy
TTLL12	Sy
SRSF2	Sy
SLC1A5	Sy
EEF1E1	Sy
HNRNPU	Sy
CETN2	Sy
DDX3X	Sy
HLA-DQB1	Sy
CRELD2	Sy
VPS13C	Sy
RBM14	Sy
RPS7	Sy
CBX1	Sy
PDP1	Sy
GPHN	Sy
DIAPH2	Sy
PDHA1	Sy
HIP1	Sy
SERF2	Sy
RAB31	Sy
SNRPC	Sy
TRAC	Sy
FBP1	Sy
SAFB	Sy
ANXA5	Sy
FUCA1	Sy
TMA7	Sy
S100A10	Sy
PFDN2	Sy
ATP5I	Sy
CHTOP	Sy
NFYC	Sy
RIN3	Sy
CDV3	Sy
SRSF5	Sy
RPS10	Sy
SNX5	Sy
SUDS3	Sy
COTL1	Sy
ELP3	Sy
MYO9B	Sy
GNPDA1	Sy
OXSR1	Sy
MIF	Sy
RBMX	Sy
TMEM109	Sy
H2AFY	Sy
PDE12	Sy
RBMXL1	Sy
HECTD4	Sy
NUTF2	Sy
PRAM1	Sy
TALDO1	Sy
HDGF	Sy
TRAPPC3	Sy
PDE6D	Sy
RAB44	Sy
PPP2R5E	Sy
PRPF8	Sy
TOR1AIP1	Sy
SSRP1	Sy
RPS6KA4	Sy
BCL2L13	Sy
GSTM1	Sy
SUPT16H	Sy
ANXA2	Sy
DNAJA2	Sy
ATP6V1F	Sy
NDUFA4	Sy
ICAM3	Sy
SYNE1	Sy
NCK1	Sy
ASAH1	Sy
HADHB	Sy
ETFB	Sy
MSN	Sy
CHMP4A	Sy
MAPK1IP1L	Sy
FAM49A	Sy
SIGLEC9	Sy
HNRNPA0	Sy
NCEH1	Sy
AK1	Sy
PSMG1	Sy
ARMC6	Sy
RNPEP	Sy
IKBKB	Sy
HSPA4	Sy
DGUOK	Sy
GRN	Sy
WDR26	Sy
FUCA2	Sy
MAGED2	Sy
ELOB	Sy
PDIA4	Sy
SEC31A	Sy
SEC24D	Sy
BICD2	Sy
ALDH3B1	Sy
CTSZ	Sy
VPS18	Sy
ITGB2	Sy
SND1	Sy
CANX	Sy
PLAA	Sy
VIM	Sy
RAB3D	Sy
ANXA4	Sy
MPO	Sy
CLTB	Sy
COLGALT1	Sy
HADH	Sy
HADHA	Sy
NRDC	Sy
COX8A	Sy
EEF1G	Sy
HM13	Sy
PSAP	Sy
ALDH16A1	Sy
PPP3CA	Sy
SH3BGRL	Sy
ACLY	Sy
ALDH2	Sy
ICAM1	Sy
ELOC	Sy
HDLBP	Sy
NOMO2	Sy
ECH1	Sy
AP3M1	Sy
TMED9	Sy
COPA	Sy
CAPZB	Sy
CYB5B	Sy
AK2	Sy
EIF2B1	Sy
BAG2	Sy
CRYBG1	Sy
CLPB	Sy
LAMP2	Sy
REEP5	Sy
ARHGEF2	Sy
AOAH	Sy
VPS8	Sy
FBP2	Sy
ATP6V1E1	Sy
VPS52	Sy
LAMP1	Sy
SYNGR2	Sy
COX7C	Sy
RPN1	Sy
PTPRE	Sy
PCYT2	Sy
GOLGB1	Sy
CRLF3	Sy
SH3GLB1	Sy
CTSB	Sy
AZU1	Sy
MCM7	Sy
PADI4	Sy
MYDGF	Sy
RRBP1	Sy
CYCS	Sy
KIAA0368	Sy
DHRS7	Sy
NME2	Sy
IKBKG	Sy
PLBD1	Sy
LRP1	Sy
CAPN7	Sy
ALDOA	Sy
GANAB	Sy
NIT1	Sy
SCP2	Sy
VPS26B	Sy
PFDN1	Sy
EHBP1L1	Sy
ENO1	Sy
PGLS	Sy
APMAP	Sy
FTL	Sy
PLCB2	Sy
TBCB	Sy
ARPC2	Sy
JAK1	Sy
HSPA1A	Sy
SPTLC2	Sy
ARF5	Sy
IGHG4	Sy
PFN1	Sy
VPS16	Sy
TARS	Sy
STX8	Sy
PDXDC1	Sy
LGALS3	Sy
OSBPL11	Sy
ACOT1	Sy
FKBP2	Sy
ALDH6A1	Sy
PPID	Sy
KDM1A	Sy
MCTS1	Sy
SYNE3	Sy
CASP3	Sy
ORMDL3	Sy
KIF5B	Sy
INPPL1	Sy
MOB4	Sy
DNAJC11	Sy
PAIP1	Sy
ZMPSTE24	Sy
UGGT1	Sy
UBXN4	Sy
ATL3	Sy
AP1G1	Sy
CLIP1	Sy
VAMP3	Sy
FN1	Sy
PTPN18	Sy
PRTN3	Sy
B2M	Sy
PACSIN2	Sy
SPECC1	Sy
DCTN1	Sy
GRIPAP1	Sy
KLC1	Sy
AP1S2	Sy
RABGAP1	Sy
TOR4A	Sy
SYK	Sy
ITGA5	Sy
STX7	Sy
ETF1	Sy
TXNDC5	Sy
MTM1	Sy
PSMB7	Sy
HOOK3	Sy
NUDT3	Sy
PLXNB2	Sy
LNPK	Sy
GABARAPL2	Sy
ROCK1	Sy
TRIP10	Sy
PPP1R9B	Sy
MSRA	Sy
PLEKHO2	Sy
SCRN1	Sy
GNB4	Sy
CTPS1	Sy
SLC25A13	Sy
SULT1A4	Sy
DNAJB2	Sy
SERPINB1	Sy
RAB37	Sy
ANO10	Sy
AP3B1	Sy
ATP6V0A1	Sy
PIK3CG	Sy
VTI1B	Sy
VAPB	Sy
ALDH4A1	Sy
SGTA	Sy
EIF4G1	Sy
TOLLIP	Sy
RDX	Sy
PEX14	Sy
